Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,curr_total_inst_5a.started,p_outcome_square_2.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,2026-04-17_14.55.23,0.047306540996942203,0.07188287500321167,0.07188287500321167,0.37435720799840055,1,[0.3020663749994128],[0.3020698749969597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
"Welcome to the reward and subjective well-being task!

In this experiment, you will have the opportunity to earn money by playing a gambling task. You will also be asked to rate your happiness at various points as you progress through the task.",0,0,0,return,0.20001583400153322,0.1485283329966478,0,0,0,0,0.4032557079990511,,,,,,,,,,0.39269400000193855,0.4032557079990511,0.4032557079990511,0.4032557079990511,0.759179041000607,return,0.20001583400153322,0.1485283329966478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
"In the next few steps, we will guide you through the task and how it works, you will then do a minimum of 10 practice trials, and finally you will start the task.",1,1,0,return,0.09951112500129966,0.12056995799503056,0,1,1,1,0.7714275830003317,,,,,,,,,,0.7625172909974935,0.7714275830003317,0.7714275830003317,0.7714275830003317,0.9922534579964122,return,0.09951112500129966,0.12056995799503056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
"On each trial, you will have the opportunity to earn money. You will be presented with two options, both options will be gambles. Each gamble probability will be indicated by the proportion of the pie that is colored green, each gamble reward size will be indicated by the size of the pie. The probabilities will also be displayed as text. Each gamble has two possible outcomes: either you win and gain the indicated reward, either you lose and earn $0. ",2,2,0,return,0.0727860420010984,0.0924608330024057,0,2,2,2,1.008159416000126,,,,,,,,,,1.0004413330025272,1.008159416000126,1.008159416000126,1.008159416000126,1.1776420410024002,return,0.0727860420010984,0.0924608330024057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
"The gamble outcome rewards are BIG or MEDIUM, although a proportion of the gambles will have a SMALL reward with a certain (100%) probability.
You will begin the task with $5. The outcome of the choices you make from then on will count for ADDITIONAL money.
Please select your gamble choice by pressing the LEFT or RIGHT arrow keys. Once you’ve made your choice the outcome will be applied to your total. 
On the next screen, you will do a few introductory trials.",3,3,0,return,0.04929624999931548,0.0902096670033643,0,3,3,3,1.1966211249964545,,,,,,,,,,1.1878931250030291,1.1966211249964545,1.1966211249964545,1.1966211249964545,1.343050374998711,return,0.04929624999931548,0.0902096670033643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3473319999975502,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,1.3602386249986012,2.49553666599968,left,1.1303258330008248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.496747666002193,2.520291166001698,2.520291166001698,2.520291166001698,3.4835625830019126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.485586916001921,3.494949166000879,3.494949166000879,3.494949166000879,3.494949166000879,3.494949166000879,3.494949166000879,11.12557737500174,space,7.622875833003491,None,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12559908300318,11.136821915999462,12.108313750002708,,,,,,,,,,,,,,,,,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.113361957999587,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,12.126257208001334,24.5361906659964,right,12.400844875002804,None,,,,2026-04-17_14h55.19.596,Mood4,2024.2.4,2026-04-17 14h55.24.020779 -0400,
