Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,curr_total_inst_5a.started,p_outcome_square_2.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,instructions_t2_chosen_gamble.started,fixation_inst_5a_3.started,intro_gambletop_3.started,intro_gamblelow_3.started,intro_gambletop_txt_3.started,intro_gambletop_p_3.started,intro_gamblelow_txt_3.started,intro_gamblelow_p_3.started,instructions_t2_chosen_gamble.stopped,instructions_t2_outcome.started,total_prompt_inst_5a_2.started,curr_total_inst_5a_2.started,p_outcome_square_3.started,intro_outcome_text_3.started,intro_next_trial_txt.started,intro_next_trial_input.started,instructions_t2_outcome.stopped,intro_next_trial_input.keys,intro_next_trial_input.rt,intro_next_trial_input.duration,instructions6.started,instructions_text.started,Continue_txt_2.started,key_resp_inst_5.started,instructions6.stopped,key_resp_inst_5.keys,key_resp_inst_5.rt,key_resp_inst_5.duration,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,2026-04-17_14.56.38,0.05907304200081853,0.09382916699541965,0.09382916699541965,0.39916654199623736,1,[0.30496766600117553],[0.30497066600219114],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
"Welcome to the reward and subjective well-being task!

In this experiment, you will have the opportunity to earn money by playing a gambling task. You will also be asked to rate your happiness at various points as you progress through the task.",0,0,0,return,0.16997724999964703,0.05924395799956983,0,0,0,0,0.4255825000000186,,,,,,,,,,0.416075125001953,0.4255825000000186,0.4255825000000186,0.4255825000000186,0.6619328329979908,return,0.16997724999964703,0.05924395799956983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
"In the next few steps, we will guide you through the task and how it works, you will then do a minimum of 10 practice trials, and finally you will start the task.",1,1,0,return,0.10325404200557387,0.1178438329952769,0,1,1,1,0.6741647079979884,,,,,,,,,,0.6652307499971357,0.6741647079979884,0.6741647079979884,0.6741647079979884,0.9038420829965617,return,0.10325404200557387,0.1178438329952769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
"On each trial, you will have the opportunity to earn money. You will be presented with two options, both options will be gambles. Each gamble probability will be indicated by the proportion of the pie that is colored green, each gamble reward size will be indicated by the size of the pie. The probabilities will also be displayed as text. Each gamble has two possible outcomes: either you win and gain the indicated reward, either you lose and earn $0. ",2,2,0,return,0.0647007500010659,0.1031415420002304,0,2,2,2,0.9217218749981839,,,,,,,,,,0.912260500001139,0.9217218749981839,0.9217218749981839,0.9217218749981839,1.0962937919975957,return,0.0647007500010659,0.1031415420002304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
"The gamble outcome rewards are BIG or MEDIUM, although a proportion of the gambles will have a SMALL reward with a certain (100%) probability.
You will begin the task with $5. The outcome of the choices you make from then on will count for ADDITIONAL money.
Please select your gamble choice by pressing the LEFT or RIGHT arrow keys. Once you’ve made your choice the outcome will be applied to your total. 
On the next screen, you will do a few introductory trials.",3,3,0,return,0.3086912080034381,0.16274337499635294,0,3,3,3,1.1143898750015069,,,,,,,,,,1.1065673749981215,1.1143898750015069,1.1143898750015069,1.1143898750015069,1.588838208001107,return,0.3086912080034381,0.16274337499635294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5929046250021202,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,1.6056258749958943,2.522754249999707,left,0.9099567910016049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5234883750017616,2.546398667000176,2.546398667000176,2.546398667000176,3.510954249999486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5130839580015163,3.53754150000168,3.53754150000168,3.53754150000168,3.53754150000168,3.53754150000168,3.53754150000168,5.2775929999988875,space,1.7373492920014542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.277614624996204,5.287926958000753,6.2708544170018286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.274980707996292,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,6.288003417001164,10.080584874995111,right,3.787652250000974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.082003999996232,10.09228733299824,10.09228733299824,10.09228733299824,10.09228733299824,10.09228733299824,10.09228733299824,10.09228733299824,11.070067916996777,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.071411042001273,11.080220374999044,11.080220374999044,11.080220374999044,11.080220374999044,13.061113416995795,13.061113416995795,14.927013374996022,space,1.860314459001529,None,,,,,,,,,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.927037374996871,14.938250166997022,14.938250166997022,14.938250166997022,19.487095416996453,return,4.542369125003461,None,,,,2026-04-17_14h56.35.181,Mood4,2024.2.4,2026-04-17 14h56.39.575305 -0400,
