Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,p_outcome_square_2.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,instructions_t2_chosen_gamble.started,fixation_inst_5a_3.started,intro_gambletop_3.started,intro_gamblelow_3.started,intro_gambletop_txt_3.started,intro_gambletop_p_3.started,intro_gamblelow_txt_3.started,intro_gamblelow_p_3.started,instructions_t2_chosen_gamble.stopped,instructions_t2_outcome.started,total_prompt_inst_5a_2.started,p_outcome_square_3.started,intro_outcome_text_3.started,intro_next_trial_txt.started,intro_next_trial_input.started,instructions_t2_outcome.stopped,intro_next_trial_input.keys,intro_next_trial_input.rt,intro_next_trial_input.duration,instructions6.started,instructions_text.started,Continue_txt_2.started,key_resp_inst_5.started,instructions6.stopped,key_resp_inst_5.keys,key_resp_inst_5.rt,key_resp_inst_5.duration,instructions7.started,total_prompt_inst_5a_3.started,fixation_inst_5a_6.started,prog_5.started,p_outcome_square_4.started,intro_outcome_text_4.started,instrutions_text.started,key_resp_inst_6.started,arrow1.started,arrow2.started,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,2026-04-17_16.27.26,0.09683508300076937,0.13426070800051093,0.13426070800051093,0.5201752909997595,1,[0.3854607079993002],[0.38546437499462627],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
"Welcome to the reward and subjective well-being task!

In this experiment, you will have the opportunity to earn money by playing a gambling task. You will also be asked to rate your happiness at various points as you progress through the task.",0,0,0,return,0.4160485000029439,0.04516124999645399,0,0,0,0,0.5446908329977305,,,,,,,,,,0.5350286250031786,0.5446908329977305,0.5446908329977305,0.5446908329977305,1.0121819580017473,return,0.4160485000029439,0.04516124999645399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
"In the next few steps, we will guide you through the task and how it works, you will then do a minimum of 10 practice trials, and finally you will start the task.",1,1,0,return,0.11609700000553858,0.09358295899437508,0,1,1,1,1.024119250003423,,,,,,,,,,1.0156040000001667,1.024119250003423,1.024119250003423,1.024119250003423,1.2348972500039963,return,0.11609700000553858,0.09358295899437508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
"On each trial, you will have the opportunity to earn money. You will be presented with two options, both options will be gambles. Each gamble probability will be indicated by the proportion of the pie that is colored green, each gamble reward size will be indicated by the size of the pie. The probabilities will also be displayed as text. Each gamble has two possible outcomes: either you win and gain the indicated reward, either you lose and earn $0. ",2,2,0,return,0.08373574999859557,0.04668862499966053,0,2,2,2,1.2525132080045296,,,,,,,,,,1.2432820410031127,1.2525132080045296,1.2525132080045296,1.2525132080045296,1.3882901250035502,return,0.08373574999859557,0.04668862499966053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
"The gamble outcome rewards are BIG or MEDIUM, although a proportion of the gambles will have a SMALL reward with a certain (100%) probability.
You will begin the task with $5. The outcome of the choices you make from then on will count for ADDITIONAL money.
Please select your gamble choice by pressing the LEFT or RIGHT arrow keys. Once you’ve made your choice the outcome will be applied to your total. 
On the next screen, you will do a few introductory trials.",3,3,0,return,0.06333804099995177,0.10451754200039431,0,3,3,3,1.408176500000991,,,,,,,,,,1.3990720410001813,1.408176500000991,1.408176500000991,1.408176500000991,1.5792464160040254,return,0.06333804099995177,0.10451754200039431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5837925410014577,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,1.5959755830044742,3.186102915999072,left,1.587743666001188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1870477909978945,3.21536991600442,3.21536991600442,3.21536991600442,4.1748984580044635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1752502500021365,4.185560416000953,4.185560416000953,4.185560416000953,4.185560416000953,4.185560416000953,4.869542332999117,space,0.6753396249987418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.869566332999966,4.879909666000458,5.857777791003173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.861197750004067,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,5.874114500002179,6.903219708001416,right,1.0120055000006687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h27.23.039,Mood4,2024.2.4,2026-04-17 16h27.27.525389 -0400,
