Intro_text,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,Intros.thisRepN,Intros.thisTrialN,Intros.thisN,Intros.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,thisRow.t,notes,dateTime,consent.started,text_9.started,button.started,consent.stopped,button.numClicks,button.timesOn,button.timesOff,instructions1.started,Intro_text_show.started,Continue_txt.started,key_resp.started,instructions1.stopped,Intros.key_resp.keys,Intros.key_resp.rt,Intros.key_resp.duration,instructions_t1_target_on_choice.started,fixation_inst_5a.started,intro_sure.started,intro_sure_txt.started,intro_gambletop.started,intro_gambletop_txt.started,intro_gambletop_p.started,intro_gamblelow.started,intro_gamblelow_txt.started,intro_gamblelow_p.started,text_inst_5a.started,choice_inst_5a.started,instructions_t1_target_on_choice.stopped,choice_inst_5a.keys,choice_inst_5a.rt,choice_inst_5a.duration,instructions_t1_chosen_gamble.started,fixation_inst_5a_2.started,intro_sure_2.started,intro_sure_txt_2.started,instructions_t1_chosen_gamble.stopped,instructions_t1_outcome.started,total_prompt_inst_5a.started,p_outcome_square_2.started,intro_outcome_text.started,intro_next_trial_txt_2.started,intro_next_trial_input_2.started,instructions_t1_outcome.stopped,intro_next_trial_input_2.keys,intro_next_trial_input_2.rt,intro_next_trial_input_2.duration,intro_iti.started,text_4.started,intro_iti.stopped,instructions_t2_target_on_choice.started,fixation_inst_5b.started,intro_sure_3.started,intro_gambletop_2.started,intro_gamblelow_2.started,intro_sure_txt_3.started,intro_gambletop_txt_2.started,intro_gambletop_p_2.started,intro_gamblelow_txt_2.started,intro_gamblelow_p_2.started,text_inst_5b.started,choice_inst_5b.started,instructions_t2_target_on_choice.stopped,choice_inst_5b.keys,choice_inst_5b.rt,choice_inst_5b.duration,instructions_t2_chosen_gamble.started,fixation_inst_5a_3.started,intro_gambletop_3.started,intro_gamblelow_3.started,intro_gambletop_txt_3.started,intro_gambletop_p_3.started,intro_gamblelow_txt_3.started,intro_gamblelow_p_3.started,instructions_t2_chosen_gamble.stopped,instructions_t2_outcome.started,total_prompt_inst_5a_2.started,p_outcome_square_3.started,intro_outcome_text_3.started,intro_next_trial_txt.started,intro_next_trial_input.started,instructions_t2_outcome.stopped,intro_next_trial_input.keys,intro_next_trial_input.rt,intro_next_trial_input.duration,instructions6.started,instructions_text.started,Continue_txt_2.started,key_resp_inst_5.started,instructions6.stopped,key_resp_inst_5.keys,key_resp_inst_5.rt,key_resp_inst_5.duration,instructions7.started,total_prompt_inst_5a_3.started,fixation_inst_5a_6.started,prog_5.started,p_outcome_square_4.started,intro_outcome_text_4.started,instrutions_text.started,key_resp_inst_6.started,arrow1.started,arrow2.started,instructions7.stopped,key_resp_inst_6.keys,key_resp_inst_6.rt,key_resp_inst_6.duration,instructions8.started,instructions_text_3.started,Continue_txt_3.started,key_resp_inst_7.started,instructions8.stopped,key_resp_inst_7.keys,key_resp_inst_7.rt,key_resp_inst_7.duration,happy_overall.started,question_3.started,happiness_rating_overall.started,low_end_text_3.started,high_end_text_3.started,key_resp_7.started,exit_text_4.started,happy_overall.stopped,happiness_rating_overall.response,happiness_rating_overall.rt,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instructions10.started,instructions_text_6.started,Continue_txt_4.started,key_resp_inst_8.started,instructions10.stopped,key_resp_inst_8.keys,key_resp_inst_8.rt,key_resp_inst_8.duration,happy_base.started,question_5.started,happiness_rating_baseline.started,low_end_text_5.started,high_end_text_5.started,exit_text_3.started,key_resp_8.started,happy_base.stopped,happiness_rating_baseline.response,happiness_rating_baseline.rt,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instructions10_2.started,instructions_text_2.started,Continue_txt_6.started,key_resp_inst_11.started,instructions10_2.stopped,key_resp_inst_11.keys,key_resp_inst_11.rt,key_resp_inst_11.duration,instructions11.started,instructions_text_7.started,Continue_txt_5.started,key_resp_inst_9.started,instructions11.stopped,key_resp_inst_9.keys,key_resp_inst_9.rt,key_resp_inst_9.duration,first_delay.started,text_3.started,first_delay.stopped,p_options_show.started,p_fixation_cross_4.started,p_box1.started,p_box2.started,p_box3.started,p_box4.started,p_box1_mag.started,p_box1_P.started,p_box2_mag.started,p_box2_P.started,p_box3_mag.started,p_box3_P.started,p_box4_mag.started,p_box4_P.started,p_choice.started,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,2026-04-17_16.35.58,0.05240641700220294,0.07440287500503473,0.07440287500503473,0.43866970800445415,1,[0.36391849999927217],[0.36392187499586726],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
"Welcome to the reward and subjective well-being task!

In this experiment, you will have the opportunity to earn money by playing a gambling task. You will also be asked to rate your happiness at various points as you progress through the task.",0,0,0,return,0.2804660409965436,0.10516687500057742,0,0,0,0,,,,,0.4628711250043125,,,,,,,,,,0.4531668749987148,0.4628711250043125,0.4628711250043125,0.4628711250043125,0.8533265420046519,return,0.2804660409965436,0.10516687500057742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
"In the next few steps, we will guide you through the task and how it works, you will then do a minimum of 10 practice trials, and finally you will start the task.",1,1,0,return,0.07509870899957605,0.04584837499714922,0,1,1,1,,,,,0.8650262500013923,,,,,,,,,,0.8567018329995335,0.8650262500013923,0.8650262500013923,0.8650262500013923,0.9865560000034748,return,0.07509870899957605,0.04584837499714922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
"On each trial, you will have the opportunity to earn money. You will be presented with two options, both options will be gambles. Each gamble probability will be indicated by the proportion of the pie that is colored green, each gamble reward size will be indicated by the size of the pie. The probabilities will also be displayed as text. Each gamble has two possible outcomes: either you win and gain the indicated reward, either you lose and earn $0. ",2,2,0,return,0.07000079099816503,0.06018908399710199,0,2,2,2,,,,,1.0045604170009028,,,,,,,,,,0.9948638749992824,1.0045604170009028,1.0045604170009028,1.0045604170009028,1.1391158750047907,return,0.07000079099816503,0.06018908399710199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
"The gamble outcome rewards are BIG or MEDIUM, although a proportion of the gambles will have a SMALL reward with a certain (100%) probability.
You will begin the task with $5. The outcome of the choices you make from then on will count for ADDITIONAL money.
Please select your gamble choice by pressing the LEFT or RIGHT arrow keys. Once you’ve made your choice the outcome will be applied to your total. 
On the next screen, you will do a few introductory trials.",3,3,0,return,0.04976541599899065,0.01585345900093671,0,3,3,3,,,,,1.1573080420057522,,,,,,,,,,1.1496396670045215,1.1573080420057522,1.1573080420057522,1.1573080420057522,1.2236090420046821,return,0.04976541599899065,0.01585345900093671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2276112500039744,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,1.2400814580032602,2.054632125000353,left,0.8069401669999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.055517000000691,2.081917167000938,2.081917167000938,2.081917167000938,3.04341291700257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.043750374999945,3.053670625005907,3.053670625005907,3.053670625005907,3.053670625005907,3.053670625005907,4.6199599579995265,space,1.5613007500069216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.619984958000714,4.628224250001949,5.603153000003658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.606925708001654,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,5.621692167005676,6.220502458003466,right,0.5831996249980875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17_16h35.54.261,Mood4,2024.2.4,2026-04-17 16h35.59.553353 -0400,
